age_months,mileage_km,fast_charge_pct,climate_zone,soh_pct
74.3,163044,71.6,temperate,84.45
42.1,88677,35.7,hot,91.54
82.4,183045,85.2,temperate,84.4
66.9,133885,24.1,hot,88.93
9.0,21442,53.8,hot,95.92
93.7,184261,18.4,temperate,85.54
73.1,119603,49.5,temperate,87.88
75.5,79882,15.2,cold,92.76
12.3,28572,16.2,cold,95.76
43.2,118535,61.2,cold,85.68
35.6,35349,26.4,cold,95.55
89.0,108532,17.2,temperate,89.34
61.8,68284,93.0,hot,89.71
79.0,118750,4.3,temperate,92.45
42.6,85196,56.5,hot,90.42
21.8,80804,54.8,hot,92.75
53.2,77923,25.1,hot,91.84
6.1,8951,45.3,cold,98.65
79.5,139937,8.8,temperate,88.26
60.6,95379,72.1,cold,89.2
72.8,138807,22.2,cold,89.55
34.0,41402,19.3,cold,94.58
93.2,79309,31.5,hot,91.6
85.7,101245,90.2,cold,87.08
74.7,117056,79.6,cold,89.97
18.7,62860,94.7,cold,93.88
44.8,134574,65.2,hot,87.84
4.2,48845,66.3,hot,94.6
14.8,75996,48.0,cold,94.16
65.6,125866,90.5,hot,84.84
71.5,62201,51.1,temperate,90.31
92.9,139217,35.5,temperate,89.75
31.3,67446,64.0,hot,91.75
35.6,80190,54.6,hot,90.72
45.1,49599,12.4,cold,94.33
18.2,109096,39.3,cold,88.39
12.5,123482,31.3,cold,90.92
45.7,40729,84.7,hot,90.48
21.8,90317,37.9,hot,92.87
64.3,145246,82.2,temperate,87.84
42.0,69149,44.2,temperate,93.2
79.9,161121,75.4,hot,85.18
67.2,131904,13.5,cold,87.77
30.0,136489,92.5,cold,87.98
79.9,184301,48.1,temperate,86.49
77.3,69463,26.0,temperate,93.91
37.2,84391,24.1,temperate,95.22
27.7,88705,26.5,hot,89.99
65.5,72209,36.7,hot,90.63
13.4,51534,71.8,temperate,92.38
19.2,134510,95.0,temperate,88.15
0.7,2537,66.9,temperate,96.92
75.5,117255,54.7,cold,88.17
63.8,154307,44.9,hot,87.95
67.7,95281,82.8,hot,86.71
74.9,120034,85.0,hot,85.26
44.1,154079,29.3,hot,86.76
54.6,102485,95.3,temperate,88.04
13.4,26894,39.5,cold,94.13
11.0,15369,80.0,cold,94.64
64.2,166922,96.7,temperate,84.78
45.2,69585,70.4,temperate,90.41
54.3,105707,16.2,hot,91.64
73.4,72084,58.6,temperate,90.98
60.9,101616,11.9,hot,92.03
53.1,155899,78.9,cold,85.88
53.7,105026,28.1,temperate,91.03
29.2,140852,69.5,hot,86.95
3.0,33526,91.0,hot,93.86
41.9,95483,18.1,hot,92.3
20.6,120310,39.3,cold,90.09
39.2,86473,64.7,hot,90.75
81.9,101811,42.0,hot,87.98
22.5,121372,17.5,hot,91.9
5.6,51451,2.9,cold,95.66
27.0,86198,40.7,temperate,93.27
28.2,140671,64.9,temperate,88.58
63.5,75331,57.4,temperate,92.97
53.5,80731,15.6,hot,90.5
75.3,66440,45.1,cold,89.61
63.8,100166,36.9,hot,89.0
39.0,56533,27.4,hot,91.46
78.1,146726,72.9,temperate,84.99
16.0,35116,31.0,hot,95.86
2.2,82794,54.0,hot,93.0
8.6,38821,92.3,cold,92.61
69.3,100415,53.9,temperate,89.44
44.3,78813,61.7,hot,89.73
15.5,98912,7.3,hot,94.88
48.1,96065,17.8,temperate,91.17
14.6,55541,10.1,hot,93.43
66.8,158020,76.5,hot,86.13
42.8,104327,83.6,temperate,88.89
36.6,56141,18.6,temperate,96.78
28.9,132132,21.9,cold,89.72
60.5,91541,32.3,temperate,92.42
34.7,33623,59.1,hot,94.47
8.4,66364,62.2,temperate,92.55
11.3,24313,68.7,temperate,93.97
92.3,105568,90.5,hot,87.45
87.2,162340,29.5,temperate,88.12
67.2,71667,65.9,hot,88.22
25.5,118103,56.0,cold,88.47
93.0,189963,30.6,cold,82.35
74.8,135084,90.7,temperate,87.3
68.8,142594,9.5,cold,88.84
43.1,121579,71.2,cold,88.23
26.1,140916,72.8,hot,85.6
9.3,48696,91.5,temperate,91.52
86.6,91751,51.9,temperate,89.51
43.8,98762,32.2,hot,89.84
19.4,80179,82.8,temperate,91.28
29.4,45826,77.1,hot,92.76
55.6,119911,50.0,cold,91.73
17.0,15837,76.8,temperate,94.67
82.2,179849,26.8,cold,87.62
72.8,92430,59.0,temperate,89.04
69.1,62304,86.5,hot,87.49
41.5,47557,31.8,cold,93.34
60.2,79015,48.4,hot,88.53
56.1,79597,95.1,hot,88.7
62.4,55925,79.8,temperate,90.31
8.1,40278,88.7,temperate,91.1
39.9,56418,38.5,hot,94.74
4.0,48764,99.7,hot,91.99
47.4,85739,15.3,hot,89.88
31.7,67070,51.9,hot,92.99
13.9,50913,47.9,hot,92.9
9.9,19040,79.8,temperate,96.06
56.4,50036,90.9,hot,89.43
16.4,37901,73.1,hot,92.62
88.8,164808,62.7,temperate,86.37
55.8,165382,42.7,temperate,88.12
33.3,139173,51.0,hot,89.2
56.7,107780,50.9,hot,88.91
2.2,65643,2.0,hot,96.57
92.0,114435,50.3,cold,89.3
46.3,131457,85.6,hot,87.03
75.1,154390,70.9,hot,85.18
7.9,107931,79.6,temperate,88.7
46.7,146393,39.0,hot,88.61
47.1,91378,52.9,hot,90.12
90.0,167051,3.3,hot,86.53
54.9,142506,38.3,temperate,90.28
45.5,74894,47.4,temperate,90.28
25.6,132867,25.5,temperate,92.54
31.8,37847,3.1,cold,95.69
50.0,160966,69.0,hot,86.23
42.1,127524,43.5,cold,88.8
2.1,12921,41.6,temperate,95.19
79.3,144851,25.0,cold,88.01
86.0,75794,53.8,temperate,91.21
13.5,103642,43.8,temperate,92.59
53.2,140230,47.4,hot,87.41
10.4,80975,58.1,temperate,89.87
64.5,156602,0.6,hot,86.5
27.0,34245,90.8,temperate,95.3
63.3,85865,7.1,hot,90.35
69.8,107861,45.1,hot,90.57
73.8,66587,20.7,cold,91.26
10.3,62405,52.4,temperate,93.44
87.9,105107,28.0,temperate,91.09
22.1,65545,86.0,hot,90.08
3.6,54005,39.6,temperate,96.96
53.3,149918,63.9,cold,87.1
35.6,62115,24.9,temperate,94.36
79.7,173632,1.9,temperate,87.8
77.6,115777,40.4,temperate,90.3
30.4,64708,53.6,hot,93.91
91.5,136533,46.0,temperate,87.83
27.9,73403,96.2,cold,92.43
49.4,72089,70.7,temperate,90.37
24.6,80799,99.6,temperate,91.16
89.9,93100,29.5,temperate,91.43
15.8,55400,78.9,temperate,91.4
4.3,71488,55.6,cold,93.62
41.8,84417,61.2,temperate,91.08
95.3,178260,98.6,temperate,82.7
85.6,102141,65.4,temperate,89.47
71.9,176261,89.9,temperate,84.8
85.5,165430,72.6,hot,84.37
85.8,187587,12.7,temperate,86.79
49.8,142085,69.9,cold,87.15
30.3,42327,48.4,temperate,93.58
74.1,124936,91.9,hot,86.18
63.5,73330,80.7,temperate,89.54
35.9,128080,10.4,temperate,94.27
